Country,GNI Per Capita,Education Index
 Afghanistan,2229,0.414
 Albania,13998,0.746
 Algeria,11174,0.672
 Andorra,56000,0.720
 Angola,6104,0.500
 Antigua and Barbuda,20895,0.665
 Argentina,21190,0.855
 Armenia,13894,0.740
 Australia,48085,0.924
 Austria,56197,0.865
 Azerbaijan,13784,0.711
 Bahamas,33747,0.740
 Bahrain,42522,0.769
 Bangladesh,4976,0.529
 Barbados,14936,0.782
 Belarus,18546,0.838
 Belgium,52085,0.902
 Belize,6382,0.695
 Benin,3254,0.478
 Bhutan,10746,0.496
 Bolivia (Plurinational State of),8554,0.695
 Bosnia and Herzegovina,14872,0.711
 Botswana,16437,0.676
 Brazil,14263,0.694
 Brunei Darussalam,63965,0.702
 Bulgaria,23325,0.779
 Burkina Faso,2133,0.312
 Burundi,754,0.417
 Cabo Verde,7019,0.562
 Cambodia,4246,0.484
 Cameroon,3581,0.547
 Canada,48527,0.894
 Central African Republic,993,0.353
 Chad,1555,0.288
 Chile,23261,0.810
 China,16057,0.657
 Colombia,14257,0.682
 Comoros,3099,0.482
 Congo,2879,0.543
 Congo (Democratic Republic of the),1063,0.496
 Costa Rica,18486,0.726
 Croatia,28070,0.805
 Cuba,8621,0.790
 Cyprus,38207,0.827
 Czechia,38109,0.890
 C̫te d'Ivoire,5069,0.453
 Denmark,58662,0.920
 Djibouti,5689,0.325
 Dominica,11884,0.632
 Dominican Republic,17591,0.666
 Ecuador,11044,0.702
 Egypt,11466,0.618
 El Salvador,8359,0.555
 Equatorial Guinea,13944,0.467
 Eritrea,2793,0.269
 Estonia,36019,0.882
 Eswatini (Kingdom of),7919,0.557
 Ethiopia,2207,0.341
 Fiji,13009,0.764
 Finland,48511,0.927
 France,47173,0.817
 Gabon,13930,0.650
 Gambia,2168,0.406
 Georgia,14429,0.862
 Germany,55314,0.943
 Ghana,5269,0.563
 Greece,30155,0.849
 Grenada,15641,0.770
 Guatemala,8494,0.519
 Guinea,2405,0.354
 Guinea-Bissau,1996,0.414
 Guyana,9455,0.601
 Haiti,1709,0.456
 Honduras,5308,0.499
" Hong Kong, China (SAR)",62985,0.880
 Hungary,31329,0.821
 Iceland,54682,0.926
 India,6681,0.555
 Indonesia,11459,0.650
 Iran (Islamic Republic of),12447,0.756
 Iraq,10801,0.557
 Ireland,68371,0.922
 Israel,40187,0.883
 Italy,42776,0.793
 Jamaica,9319,0.689
 Japan,42932,0.851
 Jordan,9858,0.667
 Kazakhstan,22857,0.830
 Kenya,4244,0.534
 Kiribati,4260,0.594
 Korea (Republic of),43044,0.865
 Kuwait,58590,0.638
 Kyrgyzstan,4864,0.730
 Lao People's Democratic Republic,7413,0.481
 Latvia,30282,0.883
 Lebanon,14655,0.604
 Lesotho,3151,0.532
 Liberia,1258,0.426
 Libya,15688,0.610
 Liechtenstein,131032,0.832
 Lithuania,35799,0.898
 Luxembourg,72712,0.806
 Madagascar,1596,0.486
 Malawi,1035,0.470
 Malaysia,27534,0.726
 Maldives,17417,0.573
 Mali,2269,0.286
 Malta,39555,0.825
 Marshall Islands,5039,0.707
 Mauritania,5135,0.396
 Mauritius,25266,0.736
 Mexico,19160,0.703
 Micronesia (Federated States of),3983,0.581
 Moldova (Republic of),13664,0.711
 Mongolia,10839,0.736
 Montenegro,21399,0.803
 Morocco,7368,0.569
 Mozambique,1250,0.395
 Myanmar,4961,0.464
 Namibia,9357,0.584
 Nepal,3457,0.521
 Netherlands,57707,0.914
 New Zealand,40799,0.926
 Nicaragua,5284,0.573
 Niger,1201,0.249
 Nigeria,4910,0.499
 North Macedonia,15865,0.704
 Norway,66494,0.930
 Oman,25944,0.718
 Pakistan,5005,0.402
 Palau,19317,0.855
" Palestine, State of",6417,0.678
 Panama,29558,0.700
 Papua New Guinea,4301,0.439
 Paraguay,12224,0.638
 Peru,12252,0.740
 Philippines,9778,0.678
 Poland,31623,0.869
 Portugal,33967,0.768
 Qatar,92418,0.659
 Romania,29497,0.765
 Russian Federation,26157,0.823
 Rwanda,2155,0.458
 Saint Kitts and Nevis,25038,0.673
 Saint Lucia,14616,0.672
 Saint Vincent and the Grenadines,12378,0.684
 Samoa,6309,0.713
 Sao Tome and Principe,3952,0.567
 Saudi Arabia,47495,0.789
 Senegal,3309,0.345
 Serbia,17192,0.783
 Seychelles,26903,0.726
 Sierra Leone,1668,0.406
 Singapore,88155,0.844
 Slovakia,32113,0.826
 Slovenia,38080,0.910
 Solomon Islands,2253,0.474
 South Africa,12129,0.724
 South Sudan,2003,0.307
 Spain,40975,0.831
 Sri Lanka,12707,0.746
 Sudan,3829,0.345
 Suriname,14324,0.675
 Sweden,54508,0.918
 Switzerland,69394,0.900
 Syrian Arab Republic,3613,0.416
 Tajikistan,3954,0.682
 Tanzania (United Republic of),2600,0.429
 Thailand,17781,0.682
 Timor-Leste,4440,0.510
 Togo,1602,0.517
 Tonga,6365,0.775
 Trinidad and Tobago,26231,0.728
 Tunisia,10414,0.661
 Turkey,27701,0.731
 Turkmenistan,14909,0.653
 Uganda,2123,0.523
 Ukraine,13216,0.799
 United Arab Emirates,67462,0.802
 United Kingdom,46071,0.928
 United States,63826,0.900
 Uruguay,20064,0.765
 Uzbekistan,7142,0.729
 Vanuatu,3105,0.561
 Venezuela (Bolivarian Republic of),7045,0.700
 Viet Nam,7433,0.630
 Yemen,1594,0.350
 Zambia,3326,0.557
 Zimbabwe,2666,0.587
